booking_id,booking_date,status,channel,total_price,base_fare,taxes_fees,ancillary_revenue,customer_id,full_name,gender,customer_city,flight_id,flight_date,season,origin_city,destination_city,route_type
63,2025-04-30,Completed,Web,239.96,196.65,31.11,12.20,17,Emily Cooper,Male,Manchester,646,2025-09-07,Autumn,Edinburgh,Manchester,Domestic
64,2025-01-01,Completed,Web,197.39,153.98,11.81,31.60,80,Jordan Baker,Female,Leeds,11,2025-01-11,Winter,London,Edinburgh,Domestic
65,2025-07-09,Completed,App,146.95,86.22,17.08,43.65,79,Grace Cooper,Female,Jersey,227,2025-08-15,Summer,Birmingham,Newquay,Domestic
66,2026-01-25,Completed,Web,276.44,206.65,33.36,36.43,43,Ethan Cooper,Male,Leeds,109,2025-04-19,Spring,Edinburgh,Manchester,Domestic
67,2025-05-17,Completed,Web,202.13,171.97,11.94,18.22,31,Morgan Baker,Female,Bristol,144,2025-05-24,Spring,Leeds,Bristol,Domestic
68,2025-02-04,Completed,Web,126.32,96.23,27.28,2.81,58,Isla Thompson,Other,Newcastle,674,2025-10-05,Autumn,London,Newcastle,Domestic
69,2025-03-28,Completed,Web,256.28,198.38,30.49,27.41,82,Ethan Davies,Other,Jersey,125,2025-05-05,Spring,Edinburgh,Manchester,Domestic
70,2025-01-11,Completed,Web,251.71,200.35,22.51,28.85,91,Ethan Smith,Female,Glasgow,768,2026-01-07,Winter,Edinburgh,Manchester,Domestic
71,2025-04-05,Cancelled,App,106.44,87.53,13.61,5.30,50,Lily King,Female,Glasgow,70,2025-03-11,Spring,Leeds,Bristol,Domestic
72,2026-01-28,Completed,Web,235.53,196.94,33.30,5.29,67,Theo Patel,Other,Leeds,373,2026-01-08,Winter,London,Manchester,Domestic
73,2025-04-12,Completed,Web,198.63,123.03,30.69,44.91,38,James Taylor,Female,Jersey,635,2025-08-27,Summer,Manchester,Newquay,Domestic
74,2025-02-06,Completed,App,164.07,127.80,22.35,13.92,40,Jacob King,Female,Newquay,209,2025-07-28,Summer,Manchester,Newquay,Domestic
75,2025-08-26,Completed,App,182.15,158.20,12.04,11.91,45,Leo Wilson,Other,Jersey,757,2025-12-27,Winter,London,Edinburgh,Domestic
76,2025-12-14,Completed,Web,148.53,129.83,16.59,2.11,3,Chris Baker,Female,Glasgow,630,2025-08-22,Summer,Manchester,Newquay,Domestic
77,2025-08-26,Completed,Agent,186.40,157.09,22.52,6.79,105,Sophia Williams,Male,Belfast,575,2025-06-28,Summer,London,Newquay,Domestic
78,2025-02-02,Cancelled,Web,106.26,73.55,24.87,7.84,109,Ava Jones,Female,Newquay,12,2025-01-12,Winter,London,Edinburgh,Domestic
79,2026-01-24,Completed,Web,171.17,139.71,14.48,16.98,80,Jordan Baker,Female,Leeds,608,2025-07-31,Summer,London,Newquay,Domestic
80,2025-04-11,Completed,Web,149.54,104.77,29.11,15.66,46,James Davies,Female,Newquay,108,2025-04-18,Spring,Newcastle,Bristol,Domestic
81,2026-01-26,Completed,Web,160.72,89.74,28.10,42.88,107,Mia Smith,Female,Manchester,64,2025-03-05,Spring,Newcastle,Bristol,Domestic
82,2026-01-24,Completed,Web,196.37,155.10,23.37,17.90,2,Jacob Davies,Female,Newcastle,363,2025-12-29,Winter,Edinburgh,Manchester,Domestic
83,2025-10-18,Completed,Web,212.99,158.17,15.57,39.25,26,Alex Baker,Female,London,28,2025-01-28,Winter,London,Birmingham,Domestic
84,2025-07-19,Completed,Web,92.33,71.25,17.11,3.97,74,Mia Walker,Female,Jersey,345,2025-12-11,Winter,Edinburgh,Manchester,Domestic
85,2025-05-10,Completed,Web,156.30,125.56,22.92,7.82,25,Lily Brown,Female,Jersey,435,2025-02-08,Winter,Edinburgh,Manchester,Domestic
86,2025-02-02,Completed,Web,230.31,200.19,22.53,7.59,109,Ava Jones,Female,Newquay,74,2025-03-15,Spring,Edinburgh,Manchester,Domestic
87,2025-01-15,Completed,Web,211.23,177.71,33.38,0.14,62,Emily Adams,Other,Belfast,279,2025-10-06,Autumn,Edinburgh,Manchester,Domestic
88,2025-12-22,Completed,Web,163.92,122.31,26.20,15.41,94,Jacob Patel,Other,Aberdeen,547,2025-05-31,Spring,London,Bristol,Domestic
89,2025-01-12,Completed,Web,167.71,139.48,26.95,1.28,110,Olivia Wright,Other,Belfast,94,2025-04-04,Spring,London,Manchester,Domestic
90,2025-10-14,Completed,Web,185.73,139.62,16.56,29.55,100,Liam Smith,Female,Jersey,371,2026-01-06,Winter,Bristol,Edinburgh,Domestic
91,2025-08-04,Completed,Web,227.83,183.29,22.85,21.69,15,Ava White,Male,Inverness,729,2025-11-29,Autumn,London,Newcastle,Domestic
92,2025-03-30,Completed,Agent,135.66,112.11,13.27,10.28,66,Alex Scott,Other,Manchester,600,2025-07-23,Summer,Manchester,Newquay,Domestic
93,2025-07-10,Completed,App,137.46,87.91,28.83,20.72,58,Isla Thompson,Other,Newcastle,295,2025-10-22,Autumn,Birmingham,Leeds,Domestic
94,2025-11-26,Completed,Web,184.43,142.92,32.74,8.77,53,Sam Taylor,Male,London,146,2025-05-26,Spring,Leeds,Bristol,Domestic
95,2025-05-12,Cancelled,Web,161.84,108.62,33.20,20.02,62,Emily Adams,Other,Belfast,591,2025-07-14,Summer,London,Jersey,Domestic
96,2025-10-27,Completed,Web,209.91,160.17,33.14,16.60,41,Ava Jones,Male,Newcastle,464,2025-03-09,Spring,Edinburgh,Manchester,Domestic
97,2025-07-12,Completed,Web,238.44,181.35,33.81,23.28,23,Oliver Davies,Female,Bristol,17,2025-01-17,Winter,London,Edinburgh,Domestic
98,2025-01-03,Completed,Web,145.36,117.47,22.76,5.13,5,Chris Taylor,Male,Jersey,234,2025-08-22,Summer,Manchester,Newquay,Domestic
99,2025-09-18,Completed,Web,186.39,118.92,31.89,35.58,110,Olivia Wright,Other,Belfast,51,2025-02-20,Winter,Bristol,Edinburgh,Domestic
100,2025-11-22,Completed,App,209.62,194.12,14.07,1.43,100,Liam Smith,Female,Jersey,232,2025-08-20,Summer,London,Newquay,Domestic
101,2025-04-16,Cancelled,Web,163.28,109.34,12.22,41.72,31,Morgan Baker,Female,Bristol,146,2025-05-26,Spring,Leeds,Bristol,Domestic
102,2026-01-20,Completed,Web,259.80,195.68,25.08,39.04,58,Isla Thompson,Other,Newcastle,605,2025-07-28,Summer,London,Jersey,Domestic
103,2025-12-09,Completed,Web,147.14,88.09,17.01,42.04,85,Morgan Patel,Male,Leeds,141,2025-05-21,Spring,Leeds,Bristol,Domestic
104,2025-07-30,Completed,App,211.66,178.66,15.10,17.90,38,James Taylor,Female,Jersey,183,2025-07-02,Summer,Birmingham,Newquay,Domestic
105,2025-05-06,Completed,Web,201.77,144.78,16.39,40.60,26,Alex Baker,Female,London,46,2025-02-15,Winter,London,Birmingham,Domestic
106,2025-04-02,Completed,Web,228.95,202.83,21.14,4.98,102,Leo Baker,Other,Inverness,5,2025-01-05,Winter,Belfast,Glasgow,Domestic
107,2025-10-03,Completed,Web,197.27,155.70,30.59,10.98,5,Chris Taylor,Male,Jersey,341,2025-12-07,Winter,Edinburgh,Manchester,Domestic
108,2025-11-12,Completed,Web,245.82,178.59,23.17,44.06,23,Oliver Davies,Female,Bristol,690,2025-10-21,Autumn,London,Newcastle,Domestic
109,2025-02-02,Completed,Web,124.72,84.61,20.28,19.83,89,Riley Davies,Other,Inverness,620,2025-08-12,Summer,Manchester,Jersey,Domestic
110,2025-10-03,Completed,Web,168.11,113.74,20.71,33.66,69,Chris Adams,Female,London,704,2025-11-04,Autumn,Newcastle,Bristol,Domestic
111,2025-12-29,Cancelled,App,150.75,127.07,22.06,1.62,35,Noah Adams,Female,Jersey,218,2025-08-06,Summer,London,Newquay,Domestic
112,2025-07-08,Completed,App,203.96,182.24,10.53,11.19,46,James Davies,Female,Newquay,628,2025-08-20,Summer,London,Jersey,Domestic
113,2025-10-07,Completed,Web,167.78,120.52,12.62,34.64,72,Liam Williams,Other,Belfast,286,2025-10-13,Autumn,Edinburgh,Manchester,Domestic
114,2025-12-18,Completed,Web,129.98,88.74,10.95,30.29,63,Sophia White,Female,Jersey,511,2025-04-25,Spring,Newcastle,Bristol,Domestic
115,2025-08-02,Cancelled,Web,197.31,138.58,22.00,36.73,71,Jordan Wilson,Other,Inverness,397,2025-01-01,Winter,Edinburgh,Manchester,Domestic
116,2025-12-31,Completed,App,204.06,165.14,12.06,26.86,98,Taylor Smith,Female,Jersey,167,2025-06-16,Summer,London,Newquay,Domestic
117,2025-05-07,Completed,Web,214.51,156.42,21.65,36.44,5,Chris Taylor,Male,Jersey,379,2026-01-14,Winter,Edinburgh,Manchester,Domestic
118,2025-05-12,Completed,Web,262.67,191.50,31.70,39.47,21,Chloe Davies,Other,Aberdeen,278,2025-10-05,Autumn,Birmingham,Leeds,Domestic
119,2026-01-25,Completed,Web,117.14,93.31,15.60,8.23,2,Jacob Davies,Female,Newcastle,129,2025-05-09,Spring,Newcastle,Bristol,Domestic
120,2025-07-16,Cancelled,Web,250.25,196.27,22.57,31.41,84,Riley Wilson,Male,Glasgow,70,2025-03-11,Spring,Leeds,Bristol,Domestic
121,2025-04-10,Completed,Web,211.13,147.76,34.97,28.40,1,Chloe Patel,Male,Newcastle,444,2025-02-17,Winter,Belfast,Glasgow,Domestic
122,2025-10-17,Completed,App,195.21,169.57,23.81,1.83,51,Noah Green,Female,Newcastle,168,2025-06-17,Summer,Birmingham,Newquay,Domestic
123,2025-12-10,Completed,Web,144.67,97.53,22.49,24.65,4,Riley Wilson,Male,Birmingham,758,2025-12-28,Winter,Edinburgh,Manchester,Domestic
124,2025-07-10,Cancelled,Web,127.07,81.27,31.96,13.84,83,Sophia King,Other,Newquay,767,2026-01-06,Winter,Bristol,Edinburgh,Domestic
125,2025-06-04,Completed,Web,170.73,122.13,11.32,37.28,3,Chris Baker,Female,Glasgow,359,2025-12-25,Winter,London,Edinburgh,Domestic
126,2025-11-17,Completed,App,229.18,177.16,34.77,17.25,2,Jacob Davies,Female,Newcastle,201,2025-07-20,Summer,Manchester,Newquay,Domestic
127,2025-06-11,Completed,Web,266.00,206.06,17.02,42.92,80,Jordan Baker,Female,Leeds,160,2025-06-09,Summer,Birmingham,Newquay,Domestic
128,2025-03-14,Completed,App,231.22,205.86,12.79,12.57,41,Ava Jones,Male,Newcastle,106,2025-04-16,Spring,Newcastle,Bristol,Domestic
129,2025-05-17,Completed,App,172.05,129.05,16.39,26.61,57,Harry Green,Other,Newquay,532,2025-05-16,Spring,London,Bristol,Domestic
130,2025-04-09,Completed,Web,159.17,89.04,31.81,38.32,25,Lily Brown,Female,Jersey,477,2025-03-22,Spring,London,Bristol,Domestic
131,2025-02-04,Completed,App,180.83,131.83,10.82,38.18,28,Ava Cooper,Other,Bristol,499,2025-04-13,Spring,London,Birmingham,Domestic
132,2025-09-27,Completed,Web,253.36,189.62,31.71,32.03,97,Morgan Taylor,Male,Glasgow,376,2026-01-11,Winter,Belfast,Glasgow,Domestic
133,2025-08-11,Completed,Web,111.76,92.75,12.53,6.48,100,Liam Smith,Female,Jersey,561,2025-06-14,Summer,Manchester,Jersey,Domestic
134,2025-07-10,Completed,Web,195.49,167.27,18.93,9.29,20,Leo Cooper,Other,Newquay,514,2025-04-28,Spring,London,Birmingham,Domestic
135,2025-05-06,Completed,Web,250.36,200.71,14.05,35.60,44,Sam Green,Female,Inverness,227,2025-08-15,Summer,Birmingham,Newquay,Domestic
136,2025-08-05,Completed,Web,111.66,99.94,11.39,0.33,70,Theo Jones,Female,Aberdeen,261,2025-09-18,Autumn,Edinburgh,Manchester,Domestic
137,2025-02-08,Completed,Web,208.78,145.95,21.52,41.31,53,Sam Taylor,Male,London,278,2025-10-05,Autumn,Birmingham,Leeds,Domestic
138,2025-12-02,Completed,Web,221.96,170.92,12.21,38.83,49,Morgan Williams,Other,Edinburgh,34,2025-02-03,Winter,Belfast,Glasgow,Domestic
139,2025-03-14,Completed,App,141.17,98.75,19.34,23.08,110,Olivia Wright,Other,Belfast,431,2025-02-04,Winter,London,Manchester,Domestic
140,2025-03-02,Completed,Web,113.98,73.50,22.11,18.37,71,Jordan Wilson,Other,Inverness,295,2025-10-22,Autumn,Birmingham,Leeds,Domestic
141,2025-02-12,Completed,Web,175.13,146.15,27.76,1.22,29,Ella Cooper,Male,Inverness,84,2025-03-25,Spring,Newcastle,Bristol,Domestic
142,2025-04-27,Completed,App,163.65,127.05,23.05,13.55,65,Morgan Wright,Male,Jersey,188,2025-07-07,Summer,Manchester,Newquay,Domestic
143,2025-04-07,Completed,Web,210.36,149.56,22.20,38.60,3,Chris Baker,Female,Glasgow,255,2025-09-12,Autumn,London,Manchester,Domestic
144,2025-09-18,Completed,Web,239.01,184.34,11.11,43.56,108,Chris Taylor,Female,Belfast,571,2025-06-24,Summer,Manchester,Jersey,Domestic
145,2025-04-23,Completed,Web,124.59,88.50,27.21,8.88,95,Emily Scott,Male,Newquay,416,2025-01-20,Winter,London,Manchester,Domestic
146,2025-03-03,Completed,Web,117.27,70.39,31.51,15.37,31,Morgan Baker,Female,Bristol,435,2025-02-08,Winter,Edinburgh,Manchester,Domestic
147,2026-01-18,Completed,App,153.97,88.17,24.05,41.75,43,Ethan Cooper,Male,Leeds,500,2025-04-14,Spring,Birmingham,Leeds,Domestic
148,2025-02-08,Completed,Web,198.58,162.85,30.29,5.44,37,Jamie Wright,Male,London,13,2025-01-13,Winter,Bristol,Edinburgh,Domestic
149,2025-07-09,Completed,Web,174.03,112.08,26.52,35.43,84,Riley Wilson,Male,Glasgow,224,2025-08-12,Summer,Birmingham,Newquay,Domestic
150,2026-01-20,Completed,Web,132.70,89.26,29.17,14.27,89,Riley Davies,Other,Inverness,568,2025-06-21,Summer,Manchester,Jersey,Domestic
151,2025-09-30,Completed,Web,221.93,201.79,14.35,5.79,97,Morgan Taylor,Male,Glasgow,621,2025-08-13,Summer,Manchester,Newquay,Domestic
152,2025-10-09,Completed,Web,239.90,192.80,32.99,14.11,48,Morgan Adams,Other,Leeds,728,2025-11-28,Autumn,London,Glasgow,Domestic
153,2025-11-30,Completed,Web,231.79,186.61,30.47,14.71,96,Olivia Taylor,Male,Bristol,451,2025-02-24,Winter,Belfast,Glasgow,Domestic
154,2025-08-30,Completed,Web,224.60,161.52,29.26,33.82,104,Harry Adams,Female,Bristol,443,2025-02-16,Winter,Glasgow,Inverness,Domestic
155,2025-01-11,Completed,Web,123.16,78.53,30.15,14.48,44,Sam Green,Female,Inverness,503,2025-04-17,Spring,Birmingham,Leeds,Domestic
156,2025-05-22,Completed,Web,161.05,140.73,13.45,6.87,84,Riley Wilson,Male,Glasgow,150,2025-05-30,Spring,Newcastle,Bristol,Domestic
157,2026-01-05,Completed,Web,234.84,186.75,23.96,24.13,27,Theo Davies,Female,Edinburgh,443,2025-02-16,Winter,Glasgow,Inverness,Domestic
158,2025-05-09,Completed,App,243.85,205.71,22.34,15.80,95,Emily Scott,Male,Newquay,501,2025-04-15,Spring,London,Manchester,Domestic
159,2025-12-10,Completed,Web,220.80,169.77,23.65,27.38,69,Chris Adams,Female,London,490,2025-04-04,Spring,Birmingham,Leeds,Domestic
160,2025-06-12,Completed,Web,169.23,104.63,27.04,37.56,116,Chloe Adams,Male,Inverness,787,2026-01-26,Winter,Belfast,Glasgow,Domestic
161,2025-01-01,Completed,Web,162.04,107.73,33.68,20.63,55,Cameron Wilson,Other,Birmingham,49,2025-02-18,Winter,Belfast,Glasgow,Domestic
162,2025-01-03,Completed,App,156.94,101.31,30.95,24.68,87,Ella Adams,Female,Leeds,206,2025-07-25,Summer,Birmingham,Newquay,Domestic
163,2025-10-07,Completed,Web,128.66,77.24,24.36,27.06,20,Leo Cooper,Other,Newquay,215,2025-08-03,Summer,Manchester,Newquay,Domestic
164,2025-04-27,Completed,App,256.49,195.27,34.50,26.72,100,Liam Smith,Female,Jersey,106,2025-04-16,Spring,Newcastle,Bristol,Domestic
165,2025-03-23,Cancelled,Web,203.69,155.71,31.62,16.36,51,Noah Green,Female,Newcastle,685,2025-10-16,Autumn,London,Birmingham,Domestic
166,2025-12-01,Cancelled,Web,255.24,204.39,32.92,17.93,58,Isla Thompson,Other,Newcastle,296,2025-10-23,Autumn,Birmingham,Leeds,Domestic
167,2025-04-30,Completed,Web,208.83,157.42,12.78,38.63,62,Emily Adams,Other,Belfast,663,2025-09-24,Autumn,Birmingham,Leeds,Domestic
168,2025-09-14,Completed,Web,223.37,170.99,16.72,35.66,51,Noah Green,Female,Newcastle,552,2025-06-05,Summer,Birmingham,Newquay,Domestic
169,2025-03-13,Completed,Web,209.17,155.72,27.87,25.58,100,Liam Smith,Female,Jersey,313,2025-11-09,Autumn,London,Birmingham,Domestic
170,2025-09-30,Completed,App,169.21,117.98,28.74,22.49,75,Sophia Patel,Female,London,471,2025-03-16,Spring,London,Manchester,Domestic
171,2025-01-24,Completed,App,178.55,142.41,34.60,1.54,32,Oliver White,Male,Glasgow,333,2025-11-29,Autumn,Edinburgh,Manchester,Domestic
172,2025-01-13,Completed,Web,232.12,204.32,27.12,0.68,117,Harry Brown,Female,Edinburgh,427,2025-01-31,Winter,Bristol,Edinburgh,Domestic
173,2025-01-18,Completed,Web,257.62,202.96,24.02,30.64,46,James Davies,Female,Newquay,14,2025-01-14,Winter,Edinburgh,Manchester,Domestic
174,2025-09-22,Completed,Web,166.37,129.31,12.18,24.88,19,Ella Walker,Female,London,34,2025-02-03,Winter,Belfast,Glasgow,Domestic
175,2025-07-31,Completed,Web,229.36,176.08,27.69,25.59,28,Ava Cooper,Other,Bristol,330,2025-11-26,Autumn,Edinburgh,Manchester,Domestic
176,2025-12-23,Completed,Web,165.91,105.84,15.79,44.28,60,Theo Green,Male,Leeds,560,2025-06-13,Summer,Birmingham,Newquay,Domestic
177,2025-02-09,Completed,App,150.03,80.03,25.55,44.45,118,Ella Adams,Other,Glasgow,122,2025-05-02,Spring,London,Bristol,Domestic
178,2025-08-24,Completed,App,170.98,117.49,11.48,42.01,20,Leo Cooper,Other,Newquay,365,2025-12-31,Winter,Edinburgh,Manchester,Domestic
